Water_Depth_cm,Soil_Moisture_%,Tank_Level_%,ET_mm_day,Rainfall_Predicted_mm,Crop_Stage,CWR_mm
6.01,95.1,75.7,8.7,4.47,3,25.46
7.36,99.8,96.6,9.4,1.84,4,30.98
8.61,91.8,50.3,9.01,1.13,4,14.44
5.59,92.0,52.7,6.59,0.0,4,38.81
0.31,52.2,83.4,5.28,0.0,3,45.0
6.78,97.0,84.2,5.18,0.0,4,30.36
0.03,78.2,72.2,6.61,0.0,4,45.0
7.1,98.9,74.7,6.02,3.73,3,9.24
0.0,58.7,85.9,6.98,0.0,5,42.67
4.03,98.6,87.2,9.09,4.58,1,8.63
0.0,62.1,53.9,5.78,0.0,5,31.27
3.54,98.0,21.3,5.22,0.0,1,0.0
0.4,77.3,78.1,6.82,0.0,4,45.0
0.0,82.3,75.3,9.3,7.39,5,0.0
0.0,78.8,29.5,9.5,3.54,5,5.47
0.0,49.0,86.8,5.06,0.0,5,45.0
4.0,99.6,28.9,5.46,0.0,2,14.83
0.0,48.6,33.7,6.49,0.0,5,45.0
9.85,90.9,58.2,8.73,9.11,4,0.0
4.88,92.7,94.4,6.46,1.27,2,19.37
7.3,98.3,15.9,8.6,2.34,3,0.0
5.94,90.7,88.3,9.7,5.13,1,0.0
6.93,98.6,77.8,9.82,8.93,2,0.0
7.44,91.7,15.1,9.94,3.47,3,0.0
0.24,78.6,21.8,6.63,0.0,2,45.0
0.11,52.7,70.3,5.24,0.0,2,45.0
4.22,95.3,60.6,5.1,0.85,1,7.26
0.0,80.8,23.1,4.13,18.72,5,0.0
0.0,72.3,92.8,6.1,0.72,5,13.85
0.0,73.7,66.2,9.1,0.69,5,16.19
5.36,91.3,73.9,8.69,0.19,2,20.59
4.75,91.0,26.0,9.07,3.2,1,0.0
0.31,74.9,36.0,5.13,0.0,4,45.0
6.96,94.0,43.8,5.82,0.0,3,10.68
7.19,96.9,63.2,9.07,7.3,2,0.0
6.66,97.5,31.3,4.7,10.13,1,0.0
5.79,95.0,45.1,6.11,0.0,4,31.77
8.1,96.5,42.1,4.59,13.37,3,0.0
0.0,77.7,47.2,5.85,1.06,5,6.26
2.65,91.0,25.1,6.14,0.0,1,0.0
5.57,99.8,69.3,8.65,4.09,2,13.68
3.05,97.7,64.6,5.58,0.0,1,18.12
7.07,91.6,37.9,6.07,3.93,2,0.0
0.0,81.6,38.1,9.81,8.01,5,0.0
4.34,91.3,75.1,6.79,0.0,2,26.41
3.15,91.1,58.8,6.28,0.0,2,37.02
0.0,73.1,99.2,9.69,2.96,5,15.59
0.39,76.8,78.6,6.99,0.0,4,45.0
0.09,58.8,35.4,5.31,0.0,3,45.0
0.0,60.6,25.1,6.59,0.0,5,7.68
7.61,96.9,70.4,9.11,8.22,3,0.0
0.0,50.9,34.7,5.45,0.0,5,44.97
4.81,91.3,32.9,5.47,0.0,2,11.88
11.43,96.9,52.9,9.04,5.56,3,0.0
0.15,62.9,57.0,5.97,0.0,1,45.0
0.24,77.8,27.2,6.43,0.0,1,45.0
0.39,79.7,16.2,5.01,0.0,4,45.0
0.01,69.2,42.1,5.08,0.0,1,45.0
0.19,83.4,28.6,6.87,0.0,2,45.0
0.0,70.1,44.8,5.82,0.0,5,14.29
5.75,99.7,51.6,5.55,0.0,2,9.61
3.2,91.7,24.5,5.86,0.0,1,0.0
8.35,97.1,21.8,9.77,3.93,3,0.0
0.15,55.4,84.3,6.53,0.0,2,45.0
0.31,68.3,37.0,5.44,0.0,4,45.0
7.28,95.5,96.0,6.78,0.0,4,26.99
7.52,93.4,40.6,6.38,0.0,4,16.94
0.0,57.6,50.1,5.25,0.0,5,36.53
3.54,98.1,16.0,5.35,0.0,1,0.0
8.12,93.1,45.2,9.42,3.26,3,8.13
4.41,93.2,84.9,6.62,4.64,1,0.0
5.51,95.2,58.9,5.77,0.0,3,28.19
10.94,92.6,46.8,4.82,15.31,3,0.0
9.92,99.7,51.5,9.29,4.06,4,8.22
3.82,93.5,29.4,5.26,0.0,2,15.94
5.46,97.1,53.6,6.44,0.0,2,13.39
6.04,97.1,75.0,6.82,0.0,4,39.42
0.18,56.2,21.9,5.75,0.0,1,45.0
10.78,96.6,73.5,4.71,14.04,3,0.0
6.84,94.5,83.5,6.6,1.16,2,8.44
5.84,99.7,73.2,6.4,0.0,4,41.03
2.28,97.0,39.3,5.49,0.0,1,17.49
3.79,95.4,89.0,5.19,0.0,2,30.32
3.6,97.0,88.8,5.32,0.0,1,12.28
7.0,96.5,53.4,6.12,4.92,2,0.0
6.98,94.9,65.5,9.11,2.22,3,17.3
0.0,76.7,60.0,4.44,14.33,5,0.0
9.23,96.2,34.5,6.57,4.28,4,0.0
10.51,92.9,25.0,9.06,7.53,4,0.0
6.83,92.7,95.9,9.3,4.98,2,8.42
7.67,95.6,61.3,4.64,14.61,2,0.0
