Water_Depth_cm,Soil_Moisture_%,Tank_Level_%,ET_mm_day,Rainfall_Predicted_mm,Crop_Stage,CWR_mm
0.0,84.2,53.9,6.31,14.88,5,0.0
15.81,93.3,72.8,5.49,16.57,1,0.0
11.6,99.3,62.2,9.68,0.0,4,53.7
3.9,97.2,16.6,4.41,9.13,3,0.0
12.65,95.3,47.1,9.79,19.34,4,0.0
0.04,72.3,40.5,9.94,0.0,4,169.59
2.71,99.9,89.7,9.5,1.62,3,27.33
0.0,64.3,93.4,8.87,0.0,5,117.47
0.22,63.1,62.6,5.74,0.0,1,197.83
5.8,90.3,15.8,9.39,0.63,4,59.69
0.04,50.4,18.1,5.65,0.0,1,178.5
8.68,98.8,87.3,6.66,0.0,4,72.87
4.52,90.5,26.1,6.47,6.56,3,0.0
2.28,90.3,81.1,6.67,0.0,2,16.86
15.36,98.0,68.9,4.72,17.86,1,0.0
15.01,99.8,51.4,5.96,0.0,1,8.96
4.09,97.4,45.2,4.37,0.0,2,7.37
5.07,90.6,68.8,6.08,3.03,1,105.35
0.0,89.1,44.7,5.04,0.0,5,10.29
0.0,83.6,67.4,6.59,0.0,5,33.95
2.75,92.7,74.9,5.63,2.04,2,9.04
0.0,85.3,20.1,6.43,0.0,5,4.35
0.0,93.6,59.4,6.88,0.0,5,9.88
4.5,97.2,96.5,5.41,1.93,3,6.48
0.0,94.5,43.1,5.91,17.55,5,0.0
6.08,99.9,22.3,9.76,0.0,1,23.45
4.38,96.2,37.9,4.24,0.0,3,7.24
1.79,91.2,25.6,6.76,0.0,3,15.95
4.59,92.5,88.1,9.13,7.59,2,2.09
0.02,54.1,53.4,6.52,0.0,1,199.81
2.78,97.8,16.2,6.06,0.0,2,2.26
1.24,99.5,61.4,5.52,0.0,3,36.09
1.15,99.8,37.4,5.86,2.63,2,24.77
2.69,92.0,17.8,5.91,11.94,3,0.0
3.65,92.5,29.7,4.68,4.66,3,6.55
0.22,76.4,51.5,6.75,9.96,2,40.64
0.0,87.6,17.5,5.18,8.86,5,0.0
7.85,98.9,82.5,6.28,14.76,4,0.0
3.6,94.8,53.2,6.83,0.0,3,13.85
