iter	Passed	Remaining
0	54	54847
1	55	27792
2	56	18790
3	57	14282
4	58	11557
5	58	9744
6	59	8447
7	60	7476
8	61	6727
9	61	6132
10	62	5638
11	63	5224
12	64	4875
13	64	4576
14	65	4293
15	66	4066
16	66	3867
17	67	3683
18	68	3525
19	69	3381
20	69	3251
21	70	3132
22	71	3024
23	71	2923
24	72	2831
25	73	2745
26	73	2665
27	74	2590
28	75	2520
29	75	2456
30	76	2395
31	77	2338
32	77	2284
33	78	2233
34	79	2185
35	79	2140
36	80	2097
37	81	2056
38	81	2018
39	82	1983
40	83	1954
41	84	1923
42	85	1895
43	85	1867
44	86	1840
45	87	1814
46	88	1789
47	89	1765
48	89	1742
49	90	1718
50	91	1696
51	92	1677
52	92	1659
53	93	1639
54	94	1620
55	95	1602
56	95	1585
57	96	1568
58	97	1552
59	98	1538
60	99	1524
61	99	1511
62	100	1497
63	101	1483
64	102	1470
65	103	1459
66	104	1450
67	104	1437
68	105	1424
69	106	1412
70	107	1401
71	107	1390
72	108	1378
73	109	1368
74	110	1358
75	110	1349
76	111	1340
77	112	1332
78	113	1323
79	114	1314
80	115	1307
81	115	1298
82	116	1289
83	117	1281
84	118	1273
85	119	1264
86	119	1257
87	120	1250
88	121	1242
89	122	1234
90	123	1229
91	123	1223
92	124	1217
93	125	1210
94	126	1203
95	127	1196
96	127	1190
97	128	1184
98	129	1178
99	130	1172
100	131	1167
101	131	1161
102	132	1155
103	133	1150
104	134	1145
105	135	1140
106	136	1135
107	137	1134
108	138	1128
109	138	1122
110	139	1116
111	140	1111
112	140	1105
113	141	1099
114	142	1094
115	142	1088
116	143	1084
117	144	1079
118	145	1075
119	146	1070
120	146	1066
121	147	1061
122	148	1056
123	148	1051
124	149	1046
125	150	1041
126	150	1036
127	151	1033
128	152	1029
129	153	1024
130	153	1020
131	154	1015
132	155	1011
133	155	1007
134	156	1004
135	157	1000
136	158	996
137	158	993
138	159	990
139	160	987
140	161	983
141	162	979
142	162	976
143	163	973
144	164	970
145	165	967
146	166	963
147	166	960
148	167	956
149	168	953
150	169	950
151	169	947
152	170	943
153	171	940
154	171	936
155	172	933
156	173	930
157	174	927
158	174	924
159	175	921
160	176	918
161	177	915
162	177	912
163	178	909
164	179	907
165	180	904
166	180	902
167	181	899
168	182	897
169	183	894
170	184	893
171	185	890
172	185	887
173	186	884
174	187	881
175	187	878
176	188	876
177	189	874
178	190	872
179	190	869
180	191	867
181	192	864
182	193	862
183	193	860
184	194	858
185	195	855
186	196	852
187	196	850
188	197	847
189	198	845
190	199	843
191	199	840
192	200	838
193	201	837
194	202	835
195	203	832
196	203	830
197	204	828
198	205	826
199	206	824
200	206	822
201	207	820
202	208	818
203	209	816
204	209	814
205	210	811
206	211	809
207	212	807
208	212	805
209	213	803
210	214	801
211	215	799
212	215	797
213	216	795
214	217	793
215	218	791
216	218	789
217	219	787
218	220	785
219	220	783
220	221	781
221	222	779
222	223	777
223	223	775
224	224	773
225	225	770
226	225	768
227	226	767
228	227	765
229	228	763
230	228	762
231	229	760
232	230	758
233	231	757
234	232	755
235	232	753
236	233	751
237	234	749
238	234	747
239	235	746
240	236	744
241	237	743
242	238	741
243	238	739
244	239	738
245	240	736
246	241	734
247	241	733
248	242	731
249	243	730
250	244	729
251	245	727
252	245	725
253	246	724
254	247	722
255	247	720
256	248	718
257	249	717
258	250	715
259	250	713
260	251	712
261	252	710
262	252	708
263	253	706
264	254	705
265	255	703
266	255	701
267	256	700
268	257	698
269	257	696
270	258	695
271	259	693
272	259	692
273	260	690
274	261	688
275	261	687
276	262	685
277	263	683
278	263	682
279	264	680
280	265	678
281	265	677
282	266	675
283	267	673
284	267	672
285	268	670
286	269	669
287	270	668
288	271	666
289	271	665
290	272	664
291	273	662
292	274	661
293	274	659
294	275	658
295	276	657
296	277	656
297	278	655
298	279	654
299	279	653
300	280	651
301	281	650
302	282	649
303	283	647
304	283	646
305	284	645
306	285	643
307	285	642
308	286	640
309	287	639
310	287	637
311	288	636
312	289	635
313	290	633
314	290	632
315	291	630
316	292	629
317	292	627
318	293	626
319	294	624
320	294	623
321	295	621
322	296	620
323	296	618
324	297	617
325	297	616
326	298	614
327	299	613
328	300	612
329	300	610
330	301	609
331	302	608
332	303	607
333	303	605
334	304	604
335	305	602
336	305	601
337	306	600
338	307	598
339	307	597
340	308	596
341	309	595
342	310	594
343	310	592
344	311	591
345	312	590
346	313	589
347	313	587
348	314	586
349	315	585
350	315	583
351	316	582
352	317	581
353	318	580
354	318	579
355	319	577
356	320	576
357	320	575
358	321	574
359	322	572
360	322	571
